Client ID,Client Type,Number of Customers,Monthly Target,Zip Code,Calendardate, Amount Collected ,Unit Sold,Campaign (Email),Campaign (Flyer),Campaign (Phone),Facebook,Instagram,YouTube,TikTok,LinkedIn,Number of Competition
ID-987275,Medium Facility,2800,125,1003,16-01-2014, -   ,0,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-02-2014,3409460,24,0,0,0,0,0,0,0,322500,Low
ID-987275,Medium Facility,2800,125,1003,18-03-2014,10228384,75,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-04-2014,17047304,123,0,0,0,0,3547500,1290000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,19-05-2014,23866224,171,0,0,0,0,0,0,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-06-2014,27275684,198,0,0,0,0,4515000,322500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-07-2014,17047304,123,0,0,0,0,4515000,2580000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-08-2014,17047304,123,0,696213,0,0,3547500,3547500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-09-2014,17047304,123,383801,1290413,0,0,2580000,4192500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-10-2014,27275684,198,0,664918,0,0,2580000,4515000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-11-2014,17047304,123,0,8414244,0,0,1935000,3225000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-12-2014,17047304,123,0,461932,0,0,1612500,4515000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-01-2015,13637844,99,0,805231,0,0,1290000,8062500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-02-2015,17047304,123,0,458380,0,0,1935000,4837500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-03-2015,27275684,198,0,0,0,0,1612500,5805000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,18-04-2015,23866224,171,0,656662,0,0,1935000,5482500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,19-05-2015,13637844,99,0,688000,0,0,1612500,4837500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-06-2015,34094608,246,0,686280,0,0,2580000,8385000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,17-07-2015,34094608,246,0,965350,0,0,1935000,7740000,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-08-2015,64779752,468,0,6679302,0,0,1290000,6772500,0,0,Low
ID-987275,Medium Facility,2800,125,1003,16-09-2015,47732452,345,0,496134,0,0,1612500,8385000,0,0,High
ID-987275,Medium Facility,2800,125,1003,16-10-2015,51141912,369,0,1789290,0,0,1935000,10642500,0,0,High
ID-987275,Medium Facility,2800,125,1003,16-11-2015,47732452,345,0,1979544,0,0,967500,6772500,0,0,High
ID-987275,Medium Facility,2800,125,1003,17-12-2015,68189216,492,0,1234642,0,0,1290000,6127500,0,0,High
