Variable,Coefficient (Impact),P-Value,Client Type
Facebook,11.503612210728026,0.0008106081506158458,Medium Facility
Campaign_Phone:Facebook,4.53187531855335,0.012630166469956778,Medium Facility
Instagram,3.362406162787566,3.392975603981073e-10,Medium Facility
YouTube,2.4604045037920663,2.899505606443138e-07,Medium Facility
Campaign_Flyer:Campaign_Phone,0.005476906485674901,0.012572075579378547,Medium Facility
Campaign_Phone:Instagram,0.00290008769128412,0.012669128513258214,Medium Facility
Campaign_Phone:YouTube,0.0018820658938846573,0.012607201655227072,Medium Facility
Facebook:YouTube,2.942487158849854e-06,0.000269105433109578,Medium Facility
Campaign_Flyer:Facebook,-5.080936961047108e-07,0.0362628920728214,Medium Facility
Facebook:Instagram,-6.555826919217473e-07,0.024042815466150454,Medium Facility
Campaign_Email:Facebook,-2.5157922235258605e-06,0.00040140417718077153,Medium Facility
Campaign_Phone:LinkedIn,-0.014529642147708507,0.012491860915580575,Medium Facility
Campaign_Phone:TikTok,-80.06823141149125,0.012629843008650285,Medium Facility
Campaign_Phone,-24879.176700934884,0.012629844041326761,Medium Facility
