Variable,Coefficient (Impact),P-Value,Client Type
Campaign_Email:Campaign_Phone,158.61007271146926,2.0190770347170266e-13,Small Facility 
Campaign_Email:Facebook,62.732786904573544,2.019077038431603e-13,Small Facility 
Campaign_Flyer:LinkedIn,51.63259273720745,2.0190127940740393e-13,Small Facility 
Campaign_Flyer:TikTok,29.239366681843194,2.0189635900527833e-13,Small Facility 
Campaign_Email:Instagram,15.825228298428872,2.019049671722791e-13,Small Facility 
TikTok:LinkedIn,12.29186032805064,2.0190243610805985e-13,Small Facility 
YouTube:LinkedIn,10.94137582879025,2.019227829197251e-13,Small Facility 
Facebook:YouTube,0.694802512610282,2.0133969137303916e-13,Small Facility 
Campaign_Email:YouTube,0.0011848540268756067,1.1816283301309036e-13,Small Facility 
Campaign_Flyer:Campaign_Phone,0.0010858038314119074,2.019077038203789e-13,Small Facility 
Facebook:Instagram,0.00014752222773403573,2.4183285105789435e-12,Small Facility 
Campaign_Email:LinkedIn,-1.552837119629154,2.0190771950339442e-13,Small Facility 
Facebook:TikTok,-2.08375096408641,2.0197165741887173e-13,Small Facility 
LinkedIn,-13.637837713090885,2.0190769226114702e-13,Small Facility 
Campaign_Email:Campaign_Flyer,-43.72745151487652,2.019080596436017e-13,Small Facility 
Instagram:LinkedIn,-54.706871578212606,2.019163333084522e-13,Small Facility 
Facebook,-341.6867327291184,2.0190770392873996e-13,Small Facility 
Campaign_Email:TikTok,-440.0544049206134,2.0190770494422665e-13,Small Facility 
Campaign_Phone,-1159.4481915647473,2.0190770419749142e-13,Small Facility 
Campaign_Email,-1511.8007947498982,2.0190770393641989e-13,Small Facility 
