feature,importance
instagram,0.6828722997862847
campaign_flyer,0.12328112944411357
campaign_flyer_x_instagram,0.1033526754591458
youtube,0.047887246008345305
instagram_x_youtube,0.02830289373149391
campaign_flyer_x_youtube,0.013369651123445304
linkedin,0.0004726356516516476
instagram_x_linkedin,0.00046146879551992167
facebook_x_instagram,0.0
campaign_phone_x_youtube,0.0
campaign_phone_x_tiktok,0.0
campaign_phone_x_linkedin,0.0
facebook_x_linkedin,0.0
facebook_x_youtube,0.0
facebook_x_tiktok,0.0
campaign_phone_x_facebook,0.0
instagram_x_tiktok,0.0
youtube_x_tiktok,0.0
youtube_x_linkedin,0.0
campaign_phone_x_instagram,0.0
campaign_email,0.0
campaign_flyer_x_linkedin,0.0
campaign_flyer_x_tiktok,0.0
campaign_flyer_x_facebook,0.0
campaign_flyer_x_campaign_phone,0.0
campaign_email_x_linkedin,0.0
campaign_email_x_tiktok,0.0
campaign_email_x_youtube,0.0
campaign_email_x_instagram,0.0
campaign_email_x_facebook,0.0
campaign_email_x_campaign_phone,0.0
campaign_email_x_campaign_flyer,0.0
tiktok,0.0
facebook,0.0
campaign_phone,0.0
tiktok_x_linkedin,0.0
