feature,importance
instagram,0.5326702983314474
youtube,0.2146234404526053
campaign_flyer_x_instagram,0.14220316570649133
instagram_x_youtube,0.07686552984525472
campaign_flyer,0.031234124351360786
campaign_flyer_x_youtube,0.002403441312840447
facebook_x_instagram,0.0
campaign_phone_x_instagram,0.0
campaign_phone_x_youtube,0.0
campaign_phone_x_tiktok,0.0
campaign_phone_x_linkedin,0.0
facebook_x_tiktok,0.0
facebook_x_youtube,0.0
campaign_flyer_x_linkedin,0.0
facebook_x_linkedin,0.0
instagram_x_tiktok,0.0
instagram_x_linkedin,0.0
youtube_x_tiktok,0.0
youtube_x_linkedin,0.0
campaign_phone_x_facebook,0.0
campaign_email,0.0
campaign_flyer_x_tiktok,0.0
campaign_flyer_x_facebook,0.0
campaign_flyer_x_campaign_phone,0.0
campaign_email_x_linkedin,0.0
campaign_email_x_tiktok,0.0
campaign_email_x_youtube,0.0
campaign_email_x_instagram,0.0
campaign_email_x_facebook,0.0
campaign_email_x_campaign_phone,0.0
campaign_email_x_campaign_flyer,0.0
linkedin,0.0
tiktok,0.0
facebook,0.0
campaign_phone,0.0
tiktok_x_linkedin,0.0
